Wavelength,Udid_Dal00000.asd,Udid_Dal00001.asd,Udid_Dal00002.asd,Udid_Dal00003.asd,Udid_Dal00004.asd,Udid_Dal00005.asd,Udid_Dal00006.asd,Udid_Dal00007.asd,Udid_Dal00008.asd,Udid_Dal00009.asd
392,0.300511307,0.30303159,0.302291953,0.301450388,0.300546321,0.301039789,0.297782417,0.301970916,0.302783341,0.301188204
393,0.30109782,0.301259594,0.295804054,0.300910285,0.300509022,0.301739005,0.29509568,0.300300012,0.29979235,0.300949543
394,0.303109068,0.303711616,0.298704305,0.297809054,0.299004455,0.299359524,0.299470237,0.302556997,0.299377267,0.300992519
395,0.300756229,0.304464439,0.297014513,0.297489128,0.297100169,0.299174782,0.297809964,0.300683583,0.299400751,0.298098128
396,0.298080065,0.303832718,0.296398252,0.299397702,0.298420709,0.300604435,0.296280897,0.299077165,0.299726384,0.296812686
397,0.299145029,0.303086323,0.301703759,0.300936012,0.303675911,0.30169908,0.300721304,0.301727302,0.300242345,0.299889393
398,0.300109963,0.301232213,0.298605199,0.297921127,0.302433022,0.301383613,0.29923797,0.300881991,0.29955854,0.297375186
399,0.297318046,0.300374819,0.296866305,0.298378082,0.299688462,0.300363779,0.297814567,0.297893465,0.299139622,0.297269243
400,0.293571813,0.300534144,0.298181283,0.300432448,0.29819261,0.299329611,0.297299453,0.296220484,0.298945698,0.298533057
401,0.295257487,0.300411237,0.298548752,0.296496489,0.29859524,0.298881789,0.295294129,0.299564835,0.298120183,0.294964151
402,0.296109292,0.301941928,0.297717972,0.29732247,0.29721093,0.299005988,0.29649431,0.297069746,0.299397568,0.298597362
403,0.296230902,0.300495754,0.297494607,0.298208922,0.297154782,0.299286957,0.29805054,0.295828952,0.301254047,0.301183632
404,0.296867953,0.296153055,0.298715772,0.296505837,0.29911276,0.299412566,0.297830827,0.299128254,0.301986301,0.298370853
405,0.300331714,0.300452429,0.300091212,0.297888233,0.296597865,0.299187497,0.297006574,0.29750457,0.300329877,0.299123542
406,0.299084516,0.301888407,0.298675524,0.300461524,0.2975682,0.300747832,0.296993199,0.297905146,0.301351696,0.298296163
407,0.296818203,0.301215232,0.296326387,0.30127836,0.300935471,0.302276036,0.297877593,0.299113488,0.301909579,0.29729134
408,0.299547185,0.302586763,0.29658768,0.29833093,0.302530147,0.30130968,0.299119709,0.298130853,0.298017158,0.298941961
409,0.300952243,0.302616469,0.301305231,0.297320533,0.300869607,0.300725339,0.300082355,0.298949316,0.299191873,0.300644971
410,0.300156121,0.301300587,0.304321876,0.298890987,0.301044922,0.300137639,0.3021708,0.301941196,0.302716237,0.302842617
411,0.299179894,0.300602019,0.304116012,0.302056975,0.303759894,0.300471715,0.304424833,0.305547341,0.305596601,0.305041424
412,0.302685904,0.304313233,0.304772568,0.304524932,0.304436369,0.304302894,0.303161773,0.306422536,0.305544471,0.305487658
413,0.304953885,0.306284618,0.30532878,0.306652765,0.306467745,0.306506092,0.303791298,0.307363027,0.308215048,0.305887756
414,0.305871003,0.306968609,0.306859471,0.308041229,0.308421862,0.307852035,0.30605699,0.309319094,0.310195814,0.307670604
415,0.307036732,0.308508893,0.309838602,0.308696656,0.30910662,0.309676612,0.308694059,0.312048368,0.308903414,0.310944485
416,0.311304756,0.313675953,0.311922267,0.310063754,0.311610979,0.310234142,0.312048304,0.312884377,0.311073775,0.312065621
417,0.314838085,0.316479452,0.312952722,0.312444588,0.313332999,0.311990351,0.314136329,0.314937841,0.313692968,0.31330661
418,0.316425244,0.316642972,0.314148702,0.315624619,0.314985202,0.31473622,0.314909846,0.317625809,0.315871062,0.315815763
419,0.316984272,0.317699974,0.317344952,0.318942219,0.319004741,0.316728433,0.315835427,0.318408119,0.318202824,0.319640129
420,0.319918149,0.320598626,0.320879206,0.31992895,0.32092061,0.319638175,0.320371849,0.32156807,0.32061005,0.321286221
421,0.322680861,0.323857994,0.323812158,0.321968478,0.323232827,0.323435866,0.323628214,0.323920785,0.323160396,0.32265415
422,0.324216428,0.326451677,0.326035266,0.326423974,0.327125414,0.327334787,0.324005313,0.324536094,0.326031968,0.325219613
423,0.328286677,0.328924599,0.328790963,0.329424326,0.329487659,0.329578012,0.328693414,0.329035241,0.329845462,0.328253976
424,0.330878393,0.331804807,0.331686023,0.331479007,0.330938288,0.331046647,0.332287148,0.332882572,0.332492404,0.331348745
425,0.332541153,0.334923368,0.333948468,0.333824269,0.332951049,0.333131406,0.334897552,0.335477219,0.33417595,0.334097995
426,0.335199981,0.337749899,0.335155075,0.33734062,0.336703311,0.336806662,0.337954664,0.337609475,0.335975355,0.336123323
427,0.338469902,0.339409138,0.337849165,0.338464875,0.339365416,0.339459572,0.338358465,0.339439923,0.338501379,0.336658952
428,0.341800129,0.341555435,0.340771709,0.340058831,0.341974686,0.341821235,0.339895731,0.34149734,0.340757855,0.339038001
429,0.344405036,0.344418289,0.343322685,0.343183277,0.344679347,0.344143197,0.34334388,0.343914249,0.342701084,0.343285793
430,0.345199661,0.346408023,0.345955502,0.346351991,0.346270777,0.345808333,0.34555752,0.346347943,0.345468197,0.345406039
431,0.347903698,0.348034179,0.347486005,0.348055199,0.347581311,0.3478458,0.347711085,0.348516212,0.34803644,0.347893274
432,0.350982311,0.350207755,0.34901916,0.349333841,0.349502854,0.35016807,0.349936967,0.350661729,0.350237621,0.350465786
433,0.352488618,0.353224554,0.351511413,0.35141067,0.352269428,0.352439112,0.352078341,0.352883274,0.352158201,0.352428401
434,0.353496641,0.355025541,0.353507005,0.353951927,0.353913404,0.354510698,0.353724621,0.354191412,0.354002719,0.353779366
435,0.355106546,0.356512327,0.355999645,0.355452813,0.355795616,0.356446069,0.355065986,0.356281613,0.355602068,0.355374556
436,0.357123081,0.358224765,0.358243704,0.356599197,0.358254364,0.358213946,0.35675857,0.358842084,0.35759677,0.357505627
437,0.358508049,0.360302991,0.358547076,0.359350828,0.360747555,0.359739434,0.359562223,0.360244978,0.360913807,0.359946102
438,0.359987043,0.361673971,0.360337157,0.360739296,0.361470034,0.36162113,0.361189082,0.361704942,0.362321098,0.361480062
439,0.362508167,0.362956889,0.363018979,0.362390033,0.362824529,0.363337722,0.362920443,0.363772244,0.363291279,0.362742136
440,0.365821829,0.364684886,0.365451175,0.365155702,0.365771105,0.364718826,0.365446006,0.366172713,0.365174713,0.364315008
441,0.366960183,0.366642967,0.366637026,0.366698866,0.366727917,0.366740698,0.366983051,0.366918011,0.367610163,0.365974826
442,0.368572189,0.368935862,0.368076723,0.368320054,0.368058301,0.368834702,0.368220306,0.368825205,0.369270736,0.368213489
443,0.370566373,0.371057085,0.370015214,0.370062522,0.369953107,0.370640934,0.369873582,0.371166856,0.370489257,0.370478028
444,0.371925708,0.372442511,0.37208709,0.371589937,0.371795583,0.372054696,0.372386252,0.372166226,0.372225014,0.372000066
445,0.373701482,0.374025299,0.373703182,0.373638409,0.374036386,0.374230018,0.373919786,0.374145622,0.374182595,0.373958391
446,0.375586727,0.375661904,0.375615119,0.375705619,0.375585849,0.376100172,0.375980684,0.375983766,0.376010347,0.375595538
447,0.377248626,0.377196291,0.377703042,0.37741055,0.376513734,0.377392863,0.378477805,0.377253584,0.377559216,0.376777259
448,0.378467979,0.378584122,0.378453555,0.378652956,0.378650975,0.379190536,0.378645924,0.378885794,0.378938873,0.378435682
449,0.379656432,0.380064767,0.379522368,0.380305828,0.380297354,0.380791717,0.380134282,0.380436241,0.380691191,0.380316048
450,0.381490352,0.381948615,0.381407929,0.382198917,0.381867616,0.382211884,0.382417876,0.382010327,0.382447842,0.382374538
451,0.384229748,0.384328086,0.383976388,0.383951291,0.384005618,0.383670327,0.384182704,0.383817922,0.38387207,0.384456504
452,0.386243572,0.386463139,0.386121777,0.385731052,0.385725242,0.385348693,0.386300926,0.385931881,0.386039846,0.38572989
453,0.387923459,0.388054208,0.387690756,0.387506635,0.387281114,0.387262288,0.387859395,0.387883285,0.387802728,0.387323375
454,0.389619784,0.389425912,0.389036921,0.38926828,0.389005644,0.389278777,0.389107473,0.389572624,0.389176908,0.389428028
455,0.39155565,0.391402925,0.390900375,0.391045352,0.39122028,0.391159389,0.39131208,0.391258633,0.391244418,0.391354586
456,0.393092731,0.393224956,0.392732287,0.393095209,0.392928651,0.392975411,0.393087613,0.392968061,0.393079635,0.393399912
457,0.39475913,0.39495775,0.394538606,0.395059336,0.394536537,0.394805489,0.394856242,0.39487129,0.394945122,0.39521319
458,0.396861225,0.396758545,0.39640084,0.396654047,0.396454426,0.396632039,0.396939738,0.396975014,0.397063541,0.396568193
459,0.398447484,0.398590356,0.398331694,0.39805626,0.39833775,0.398115903,0.398331587,0.398805142,0.398958234,0.397777772
460,0.400241769,0.400471711,0.400320196,0.400036354,0.400048275,0.399915097,0.400173695,0.400698804,0.400542846,0.399665735
461,0.402106261,0.402426938,0.402125892,0.40220824,0.401744923,0.40202578,0.402269664,0.402596142,0.402168972,0.401922983
462,0.403564246,0.404445072,0.403544097,0.403695006,0.403733972,0.404094087,0.403831208,0.404308194,0.404346537,0.403715885
463,0.405871849,0.406078531,0.406050297,0.405953478,0.405849931,0.40646275,0.406306208,0.406687405,0.406405836,0.406182725
464,0.40800061,0.407806232,0.408225056,0.40791263,0.407862187,0.408196801,0.408507785,0.408819649,0.40805048,0.408279849
465,0.4095239,0.409925956,0.409483252,0.409258892,0.409729948,0.409263104,0.409935,0.41029736,0.40954663,0.409743074
466,0.411665502,0.412288514,0.411423934,0.411700456,0.41179674,0.411601921,0.411945964,0.412010526,0.412207057,0.412317846
467,0.413658903,0.413999101,0.413483265,0.413787096,0.413745188,0.413701902,0.413843028,0.414012125,0.414125549,0.414027268
468,0.415616885,0.415672962,0.415577462,0.415760859,0.415770397,0.415536544,0.415913341,0.416145118,0.415787918,0.415583203
469,0.417770952,0.418125841,0.417719817,0.418137554,0.418055654,0.417487365,0.418462957,0.418118998,0.418151524,0.418168688
470,0.419157479,0.419744042,0.419730465,0.419263474,0.419629611,0.41905669,0.419948493,0.419577405,0.419406904,0.419666845
471,0.420788084,0.4211194,0.421388793,0.420827981,0.420893606,0.420883276,0.42124315,0.421058953,0.42087339,0.421144253
472,0.422803026,0.422729505,0.422698457,0.423151795,0.42233746,0.422872245,0.422847876,0.422755937,0.422857344,0.423040778
473,0.424172985,0.424733874,0.42391406,0.424703895,0.424428742,0.423991451,0.424625235,0.424378653,0.424240786,0.42481273
474,0.426017513,0.42644185,0.426055272,0.426194212,0.426315735,0.425904997,0.42602246,0.42628899,0.426130742,0.426181706
475,0.427861724,0.427898181,0.428032528,0.427531438,0.42773111,0.427958053,0.427439966,0.427915881,0.427741068,0.427587163
476,0.429139951,0.429326537,0.428962402,0.428705715,0.428845701,0.429309597,0.429237585,0.428900718,0.428520663,0.429372027
477,0.430426508,0.430818061,0.430884165,0.430742711,0.430822512,0.43070175,0.430692575,0.430495705,0.430549589,0.430796051
478,0.43198582,0.432381218,0.432182404,0.432280212,0.432508566,0.432081509,0.43197855,0.43213967,0.432437789,0.432149509
479,0.433514196,0.433725671,0.432988876,0.43319422,0.433501903,0.433429839,0.433304323,0.433568788,0.433743154,0.433446717
480,0.434358863,0.434439435,0.434725456,0.434363716,0.434099987,0.434755809,0.434843416,0.434785637,0.434847368,0.434518384
481,0.435777891,0.436095929,0.436187673,0.436150207,0.435437072,0.436145559,0.435879896,0.435921133,0.436408265,0.436054539
482,0.437330014,0.437713193,0.437291464,0.437650127,0.437334354,0.437335997,0.437197218,0.437323183,0.437898507,0.437638853
483,0.438612669,0.438649539,0.438298374,0.438450013,0.439282499,0.438343026,0.439102259,0.439003498,0.438938201,0.438908773
